track_id,category,sat,rise,n,days,azmean,azsd,r,slope,intercept,rms_m,fail,near_reason,raw_mean_bias_m,raw_mean_abs_deviation_m,raw_median_abs_deviation_m,raw_rms_m,plus_mean_bias_m,plus_mean_abs_deviation_m,plus_median_abs_deviation_m,plus_rms_m
1,BAD,3,1,2,2,137.775,2.0097183471152322e-14,1.0,1.386627765492327,16.240655637465384,16.656490367323695,"N,DAYS,SLOPE,RMS",,16.6564811047,16.6564811047,16.6564811047,16.656490367323695,16.898481104700004,16.898481104700004,16.898481104700004,16.89849023467546
2,BAD,13,1,3,3,137.09333333583422,0.02364866518118286,0.21691267375347467,0.11596988446882057,17.50538111931695,16.860900553508966,"N,DAYS,R,SLOPE,RMS",,16.86033745812,16.86033745812,16.888140289920003,16.860900553508966,17.10233745812,17.10233745812,17.130140289920003,17.10289258590631
3,BAD,19,-1,14,14,148.9578572807964,0.0907231379635472,-0.19450985947479982,-0.015389644310060084,17.74865582767453,18.07636994127488,"R,SLOPE,RMS",,18.06355554108957,18.06355554108957,18.11831672502,18.07636994127488,18.305555541089575,18.305555541089575,18.36031672502,18.318200652239657
4,BAD,25,1,3,3,157.85000000030462,0.010000000304614788,-0.3233275767281976,-0.05123265976374158,18.73720044341679,18.92830617084306,"N,DAYS,R,SLOPE,RMS",,18.924596378013334,18.924596378013334,19.16643940732,18.92830617084306,19.166596378013335,19.166596378013335,19.40843940732,19.17025933951166
5,BAD,1,-1,20,20,56.248499989553856,0.04013792012024552,-0.8902771072472155,-0.9348895896745739,18.884539899972687,19.122325622713213,"R,SLOPE,RMS",,19.0846954775146,19.0846954775146,19.143859928323998,19.122325622713213,19.3266954775146,19.3266954775146,19.385859928324003,19.36385534526096
6,BAD,15,-1,24,24,93.23833335276801,0.09855222387086231,-0.893359539850661,-0.8979675009908857,18.912562461173174,18.635770142175776,"R,SLOPE,RMS",,18.59089507895025,18.59089507895025,18.625727105807997,18.635770142175776,18.832895078950248,18.832895078950248,18.867727105808,18.877194866034042
7,BAD,26,-1,17,17,90.74117631450568,0.09536720605465779,-0.8956557987229533,-0.9087623833498473,18.952976887357643,19.14666259306457,"R,SLOPE,RMS",,19.105736698249174,19.105736698249174,19.225501836508,19.14666259306457,19.34773669824918,19.34773669824918,19.467501836508,19.388151768918323
8,BAD,21,-1,21,21,92.86476184830332,0.08582845016066756,-0.9088822599898535,-0.9246495752279804,19.024509026134936,19.033767222662046,"R,SLOPE,RMS",,18.99500245212019,18.99500245212019,19.231725674,19.033767222662046,19.23700245212019,19.23700245212019,19.473725674,19.275280539419143
9,BAD,30,-1,19,19,33.75210526318677,0.006911947902708052,-0.9217078965954874,-0.9210182858990642,18.98871098313588,19.00557819194246,"R,SLOPE,RMS",,18.96175988312179,18.96175988312179,19.247738494994,19.00557819194246,19.20375988312179,19.20375988312179,19.489738494994,19.247027256006827
10,BAD,3,-1,19,19,37.168947372294575,0.030576211694758604,-0.9230573241332113,-0.810708025681663,18.856650176704928,19.278599133071477,"R,SLOPE,RMS",,19.246881575990002,19.246881575990002,19.20412477484,19.278599133071477,19.488881575989996,19.488881575989996,19.44612477484,19.520205921466182
11,BAD,24,-1,25,25,57.252799997818336,0.033359360657275516,-0.9267180053839429,-0.8372110911407068,18.86600302847109,18.683467493443477,"R,SLOPE,RMS",,18.64207553197168,18.64207553197168,18.702334635776,18.683467493443477,18.88407553197168,18.88407553197168,18.944334635776002,18.924938206927738
12,BAD,16,-1,18,18,96.47166666936403,0.04242640687118917,-0.9309765545138382,-0.8633041882653264,18.965062510155402,19.09661268792575,"R,SLOPE,RMS",,19.044306550511003,19.044306550511003,19.20869622328,19.09661268792575,19.286306550511,19.286306550511,19.45069622328,19.337958127038494
13,BAD,2,-1,20,20,52.87800000317899,0.03211820274187773,-0.9321363031388072,-0.9866500747680914,18.89791273864135,19.025517742231383,"R,SLOPE,RMS",,18.973797191002596,18.973797191002596,18.983493927856,19.025517742231383,19.2157971910026,19.2157971910026,19.225493927856,19.266868121218
14,BAD,31,-1,11,11,127.07272726509717,0.04683555116046081,-0.9333877336961081,-1.0884464175564632,18.996470950304218,18.62016212120259,"N,DAYS,R,SLOPE,RMS",,18.590364173727274,18.590364173727274,18.51843373,18.62016212120259,18.832364173727274,18.832364173727274,18.760433730000003,18.86177981209493
15,BAD,6,-1,21,21,114.7233333584001,0.07253716644330888,-0.9344934261433809,-0.9793413939934664,18.984220098672125,19.320618237786253,"R,SLOPE,RMS",,19.27837382598,19.27837382598,18.94931164556,19.320618237786253,19.520373825980002,19.520373825980002,19.191311645560003,19.562095644946968
16,BAD,4,1,20,20,96.32999999990862,0.011742858950949153,-0.9366938070263684,-0.9034395010081828,18.9495126799894,19.248682271963276,"R,SLOPE,RMS",,19.215058312255497,19.215058312255497,19.120001748106,19.248682271963276,19.457058312255505,19.457058312255505,19.362001748106003,19.490264786044467
