track_id,sat,rise,n,days,azmean_deg,azsd_deg,tide_r,slope,intercept_m,raw_rms_cm,plus242_rms_cm,category,fail
1,12,1,5,5,133.2339999962203,0.02334952033306878,0.9777338216515244,0.6363296129440047,-0.00022492658363198358,31.731166604083015,10.610423161962064,BAD,"N,DAYS,SLOPE,RMS"
2,9,-1,20,20,35.01450000004748,0.006452049867201741,0.9775494910320798,1.0309759622449832,-0.21843008535771452,27.01075402580524,14.944845146780633,GOOD,
3,25,-1,18,18,47.61333333330701,0.007856742019021765,0.9761030335007228,0.8978842894383376,-0.19040764728393933,26.57447844680799,19.231797092017015,GOOD,
4,29,1,25,25,113.00240000098312,0.02094421819119377,0.9744947739022155,0.9519200265879846,-0.27571844300811355,32.236142302669585,16.85390860585716,NEAR-GOOD,RMS
5,9,1,20,20,124.44800000546361,0.028555395785330357,0.9741588988306592,1.0215180967254438,-0.2466450083011153,28.647614049043746,14.051103405766899,GOOD,
6,29,-1,16,16,33.32625000019574,0.009935993181910921,0.9721306114154603,0.997623893404282,-0.19166098465627845,26.631600641843633,19.194078214823882,GOOD,
7,13,-1,13,13,38.843846152078754,0.032714982542786965,0.9683609505833143,0.8716787280906974,-0.14926808764601993,24.581053396806528,21.069556572667594,BAD,"N,DAYS"
8,27,-1,18,18,63.42388888893134,0.0069545677846951,0.9643666987755163,0.9208463378604334,-0.28865701593547544,36.09961733723804,22.43860417286582,NEAR-GOOD,RMS
9,4,-1,18,18,30.519444444432704,0.007827932486466252,0.9628862519018949,0.9155616513410284,-0.24393053259883474,28.978878013387476,19.02031058836947,GOOD,
10,8,-1,20,20,83.41950004750657,0.08737064840691405,0.9595907405641474,1.0171238878961442,-0.2863673630772873,37.305589793112055,24.34767642284827,NEAR-GOOD,RMS
11,12,-1,23,23,37.53782608701554,0.007637695487432213,0.958275246648652,0.8733022836124225,-0.14326722329265978,25.531741476950508,23.8717200637762,GOOD,
12,28,-1,18,18,114.25499998234065,0.05113419795903459,0.9561260259200269,0.9674011292775462,-0.22390053030439003,30.88897996433807,21.448311975016463,NEAR-GOOD,RMS
13,30,1,21,21,102.96952380946028,0.011070056958178266,0.9463438129938962,0.9421179000084762,-0.25503269052818806,32.20953322720707,20.965365311981405,NEAR-GOOD,RMS
14,5,-1,19,19,117.29947368648938,0.10318884130703607,0.941863671190324,0.884667277043167,-0.27599791020467396,37.97666499649773,23.91552656388819,NEAR-GOOD,RMS
15,20,-1,22,22,69.89499998465836,0.060517250948288054,0.9376221221819465,0.9273472404057349,-0.32099657842416257,41.052314167023056,25.68008728341791,NEAR-GOOD,RMS
16,4,1,20,20,96.32999999990862,0.011742858950949153,0.9366938070263682,0.9034395010081883,-0.28451267998939617,34.08235743854244,20.866368152728228,NEAR-GOOD,RMS
17,6,-1,21,21,114.7233333584001,0.07253716644330888,0.9344934261433805,0.9793413939934615,-0.31922009867212986,39.504545780739555,24.82102368941508,NEAR-GOOD,RMS
18,31,-1,11,11,127.0727272650972,0.04683555116045597,0.933387733696108,1.0884464175564657,-0.3314709503042297,37.87897182972325,22.346791888702022,BAD,"N,DAYS,RMS"
